Grande Sector ID,Grande Sector,Year,Remuneration Avg Nominal,Workers,Movement Balance
1,Agricultura,2016,4328.557849185681,1890.0,11.0
1,Agricultura,2017,4153.127731417821,1936.0,11.0
1,Agricultura,2018,4474.626397760903,1968.0,11.0
1,Agricultura,2019,3907.4684405262215,1697.0,11.0
1,Agricultura,2020,3975.294445997669,1550.0,11.0
1,Agricultura,2021,4279.936106787787,1512.0,11.0
1,Agricultura,2022,7418.87633966078,1353.0,11.0
1,Agricultura,2023,5630.24144672695,1279.0,11.0
1,Agricultura,2024,6552.3187916559,1285.0,11.0
2,Indústria,2016,2510.122178663175,340865.0,12120.0
2,Indústria,2017,2640.189728248509,318814.0,12120.0
2,Indústria,2018,2670.2030283084005,311449.0,12120.0
2,Indústria,2019,2612.819165652588,305591.0,12120.0
2,Indústria,2020,2529.4599869326184,299301.0,12120.0
2,Indústria,2021,2739.9127680877536,308892.0,12120.0
2,Indústria,2022,3465.3650386574172,312587.0,12120.0
2,Indústria,2023,3018.2037179332797,321831.0,12120.0
2,Indústria,2024,3136.7874664875667,334660.0,12120.0
3,Comércio,2016,2131.047024797811,557176.0,-4992.0
3,Comércio,2017,2212.722890405368,554773.0,-4992.0
3,Comércio,2018,2269.167071910439,548779.0,-4992.0
3,Comércio,2019,2317.4416671389654,532979.0,-4992.0
3,Comércio,2020,2233.4833200762923,499542.0,-4992.0
3,Comércio,2021,2469.429591865321,512638.0,-4992.0
3,Comércio,2022,3160.572895148095,559718.0,-4992.0
3,Comércio,2023,2724.908455003329,554228.0,-4992.0
3,Comércio,2024,2887.1838842862676,566714.0,-4992.0
4,Serviços,2016,2514.548890596532,685361.0,23905.0
4,Serviços,2017,2644.304813349709,687926.0,23905.0
4,Serviços,2018,2735.105355913211,692445.0,23905.0
4,Serviços,2019,2788.727525682804,691232.0,23905.0
4,Serviços,2020,2743.0882847111056,631565.0,23905.0
4,Serviços,2021,3051.5934153609555,637812.0,23905.0
4,Serviços,2022,3889.2822459534186,705527.0,23905.0
4,Serviços,2023,3270.412511399651,708075.0,23905.0
4,Serviços,2024,3488.288816515549,748496.0,23905.0
